
Temp stepping (C): from ambient (heaters off) by +4.0C: varying Kp, Kd, Ki
PID: Kp=10.0 | Ki=0.0 | Kd=0.0
time(min),ambTemp(C),ambHumidity(%),dewpoint(C),setPoint(C),heaterTemp1-50mm-guidescope(C),heaterTemp2-80mm-refractor(C)),PIDout1,PIDout2
0.33,21.40,67.80,15.21,21.40,23.25,23.37,0.00,0.00
0.67,21.40,67.80,15.21,21.40,23.25,23.25,0.00,0.00
1.00,21.40,67.90,15.23,21.40,23.12,23.00,0.00,0.00
1.33,21.40,67.90,15.23,21.40,23.00,22.87,0.00,0.00
1.67,21.40,67.90,15.23,21.40,22.87,22.75,0.00,0.00
2.00,21.40,67.90,15.23,21.40,22.75,22.62,0.00,0.00
2.33,21.40,67.90,15.23,21.40,22.75,22.50,0.00,0.00
2.67,21.40,67.90,15.23,21.40,22.62,22.50,0.00,0.00
3.00,21.40,68.00,15.25,21.40,22.62,22.37,0.00,0.00
3.33,21.40,68.00,15.25,21.40,22.50,22.25,0.00,0.00
3.67,21.40,68.00,15.25,21.40,22.50,22.25,0.00,0.00
4.00,21.40,68.00,15.25,21.40,22.37,22.12,0.00,0.00
4.33,21.40,68.00,15.25,21.40,22.37,22.12,0.00,0.00
4.67,21.40,68.00,15.25,21.40,22.37,22.00,0.00,0.00
5.00,21.40,68.00,15.25,21.40,22.37,22.00,0.00,0.00
5.33,21.40,68.00,15.25,21.40,22.25,21.87,0.00,0.00
5.67,21.40,68.00,15.25,21.40,22.25,21.87,0.00,0.00
6.00,21.40,68.00,15.25,21.40,22.25,21.87,0.00,0.00
6.33,21.40,68.10,15.27,21.40,22.25,21.75,0.00,0.00
6.67,21.40,68.10,15.27,21.40,22.12,21.75,0.00,0.00
7.00,21.40,68.10,15.27,21.40,22.12,21.75,0.00,0.00
7.33,21.40,68.10,15.27,21.40,22.12,21.75,0.00,0.00
7.67,21.40,68.10,15.27,21.40,22.12,21.62,0.00,0.00
8.00,21.40,68.10,15.27,21.40,22.12,21.62,0.00,0.00
8.33,21.40,68.10,15.27,21.40,22.00,21.62,0.00,0.00
8.67,21.40,68.20,15.30,21.40,22.00,21.62,0.00,0.00
9.00,21.30,68.20,15.20,21.30,22.00,21.50,0.00,0.00
9.33,21.30,68.20,15.20,21.30,22.00,21.50,0.00,0.00
9.67,21.40,68.20,15.30,21.40,22.00,21.50,0.00,0.00
10.00,21.30,68.20,15.20,21.30,22.00,21.50,0.00,0.00
10.33,21.40,68.10,15.27,25.40,22.00,21.50,34.00,39.00
10.67,21.40,68.20,15.30,25.40,22.00,21.75,34.00,36.50
11.00,21.30,68.20,15.20,25.30,22.00,22.37,33.00,29.25
11.33,21.30,68.20,15.20,25.30,22.12,22.87,31.75,24.25
11.67,21.40,68.30,15.32,25.40,22.25,23.37,31.50,20.25
12.00,21.30,68.30,15.22,25.30,22.37,23.62,29.25,16.75
12.33,21.30,68.30,15.22,25.30,22.50,23.75,28.00,15.50
12.67,21.30,68.30,15.22,25.30,22.62,23.87,26.75,14.25
13.00,21.30,68.30,15.22,25.30,22.62,23.87,26.75,14.25
13.33,21.30,68.30,15.22,25.30,22.75,23.87,25.50,14.25
13.67,21.30,68.30,15.22,25.30,22.75,24.00,25.50,13.00
14.00,21.30,68.30,15.22,25.30,22.87,24.00,24.25,13.00
14.33,21.30,68.40,15.25,25.30,22.87,23.87,24.25,14.25
14.67,21.40,68.40,15.34,25.40,22.87,23.87,25.25,15.25
15.00,21.30,68.40,15.25,25.30,23.00,24.00,23.00,13.00
15.33,21.30,68.40,15.25,25.30,23.00,24.00,23.00,13.00
15.67,21.30,68.40,15.25,25.30,23.00,24.00,23.00,13.00
16.00,21.30,68.40,15.25,25.30,23.00,24.00,23.00,13.00
16.33,21.30,68.50,15.27,25.30,23.00,24.00,23.00,13.00
16.67,21.40,68.50,15.37,25.40,23.00,24.00,24.00,14.00
17.00,21.30,68.50,15.27,25.30,23.00,23.87,23.00,14.25
17.33,21.30,68.50,15.27,25.30,23.00,24.00,23.00,13.00
17.67,21.40,68.50,15.37,25.40,23.00,24.00,24.00,14.00
18.00,21.40,68.50,15.37,25.40,23.12,24.00,22.75,14.00
18.33,21.40,68.50,15.37,25.40,23.12,24.00,22.75,14.00
18.67,21.40,68.50,15.37,25.40,23.12,24.00,22.75,14.00
19.00,21.40,68.50,15.37,25.40,23.12,24.00,22.75,14.00
19.33,21.40,68.50,15.37,25.40,23.12,24.00,22.75,14.00
19.67,21.40,68.50,15.37,25.40,23.12,24.00,22.75,14.00
20.00,21.40,68.60,15.39,25.40,23.12,24.00,22.75,14.00
20.33,21.40,68.60,15.39,25.40,23.12,24.12,22.75,12.75
20.67,21.40,68.60,15.39,25.40,23.12,24.12,22.75,12.75
21.00,21.40,68.60,15.39,25.40,23.12,24.00,22.75,14.00
21.33,21.40,68.60,15.39,25.40,23.12,24.12,22.75,12.75
21.67,21.40,68.70,15.41,25.40,23.12,24.12,22.75,12.75
22.00,21.40,68.60,15.39,25.40,23.12,24.00,22.75,14.00
22.33,21.40,68.60,15.39,25.40,23.12,24.00,22.75,14.00
22.67,21.40,68.60,15.39,25.40,23.12,24.12,22.75,12.75
23.00,21.40,68.70,15.41,25.40,23.12,24.12,22.75,12.75
23.33,21.40,68.70,15.41,25.40,23.12,24.12,22.75,12.75
23.67,21.40,68.70,15.41,25.40,23.12,24.12,22.75,12.75
24.00,21.40,68.70,15.41,25.40,23.12,24.00,22.75,14.00
24.33,21.40,68.70,15.41,25.40,23.12,24.00,22.75,14.00
24.67,21.40,68.70,15.41,25.40,23.25,24.12,21.50,12.75
25.00,21.40,68.70,15.41,25.40,23.25,24.12,21.50,12.75
25.33,21.40,68.70,15.41,25.40,23.12,24.12,22.75,12.75
25.67,21.40,68.70,15.41,25.40,23.12,24.12,22.75,12.75
26.00,21.40,68.70,15.41,25.40,23.12,24.00,22.75,14.00
26.33,21.40,68.70,15.41,25.40,23.12,24.12,22.75,12.75
26.67,21.40,68.70,15.41,25.40,23.25,24.12,21.50,12.75
27.00,21.40,68.70,15.41,25.40,23.12,24.12,22.75,12.75
27.33,21.40,68.70,15.41,25.40,23.25,24.12,21.50,12.75
27.67,21.40,68.70,15.41,25.40,23.25,24.12,21.50,12.75
28.00,21.40,68.70,15.41,25.40,23.12,24.00,22.75,14.00
28.33,21.40,68.70,15.41,25.40,23.25,24.12,21.50,12.75
28.67,21.40,68.70,15.41,25.40,23.25,24.12,21.50,12.75
29.00,21.40,68.80,15.43,25.40,23.25,24.12,21.50,12.75
29.33,21.40,68.80,15.43,25.40,23.25,24.12,21.50,12.75
29.67,21.40,68.80,15.43,25.40,23.25,24.12,21.50,12.75
30.00,21.40,68.80,15.43,25.40,23.25,24.00,21.50,14.00
30.33,21.40,68.80,15.43,25.40,23.25,24.12,21.50,12.75
30.67,21.40,68.80,15.43,25.40,23.25,24.12,21.50,12.75
31.00,21.40,68.70,15.41,25.40,23.12,24.12,22.75,12.75
31.33,21.40,68.70,15.41,25.40,23.25,24.12,21.50,12.75
31.67,21.40,68.70,15.41,25.40,23.25,24.12,21.50,12.75
32.00,21.40,68.70,15.41,25.40,23.25,24.12,21.50,12.75
32.34,21.40,68.80,15.43,25.40,23.12,24.00,22.75,14.00
32.67,21.40,68.70,15.41,25.40,23.25,24.12,21.50,12.75
33.00,21.50,68.80,15.53,25.50,23.25,24.12,22.50,13.75
33.34,21.50,68.80,15.53,25.50,23.25,24.12,22.50,13.75
33.67,21.50,68.80,15.53,25.50,23.25,24.12,22.50,13.75
34.00,21.50,68.80,15.53,25.50,23.25,24.12,22.50,13.75
34.34,21.40,68.80,15.43,25.40,23.25,24.12,21.50,12.75
34.67,21.40,68.80,15.43,25.40,23.25,24.12,21.50,12.75
35.00,21.50,68.90,15.55,25.50,23.25,24.12,22.50,13.75
35.34,21.50,68.90,15.55,25.50,23.25,24.12,22.50,13.75
35.67,21.40,68.90,15.46,25.40,23.25,24.12,21.50,12.75
36.00,21.40,68.90,15.46,25.40,23.25,24.12,21.50,12.75
36.34,21.50,68.90,15.55,25.50,23.25,24.12,22.50,13.75
36.67,21.50,68.90,15.55,25.50,23.25,24.12,22.50,13.75
37.00,21.50,68.90,15.55,25.50,23.25,24.12,22.50,13.75
37.34,21.50,68.80,15.53,25.50,23.25,24.12,22.50,13.75
37.67,21.50,68.80,15.53,25.50,23.25,24.12,22.50,13.75
38.00,21.50,68.90,15.55,25.50,23.25,24.25,22.50,12.50
38.34,21.40,68.90,15.46,25.40,23.25,24.12,21.50,12.75
38.67,21.50,68.90,15.55,25.50,23.25,24.12,22.50,13.75
39.00,21.50,68.90,15.55,25.50,23.25,24.12,22.50,13.75
39.34,21.40,68.90,15.46,25.40,23.25,24.12,21.50,12.75
39.67,21.50,68.90,15.55,25.50,23.25,24.12,22.50,13.75
40.00,21.50,68.90,15.55,25.50,23.25,24.12,22.50,13.75
PID: Kp=25.0 | Ki=0.0 | Kd=0.0
time(min),ambTemp(C),ambHumidity(%),dewpoint(C),setPoint(C),heaterTemp1-50mm-guidescope(C),heaterTemp2-80mm-refractor(C)),PIDout1,PIDout2
0.33,21.50,69.00,15.57,21.50,23.25,24.12,0.00,0.00
0.67,21.50,69.00,15.57,21.50,23.25,24.12,0.00,0.00
1.00,21.50,69.00,15.57,21.50,23.12,23.87,0.00,0.00
1.33,21.50,69.00,15.57,21.50,23.00,23.62,0.00,0.00
1.67,21.50,69.10,15.60,21.50,23.00,23.37,0.00,0.00
2.00,21.50,69.10,15.60,21.50,22.87,23.25,0.00,0.00
2.33,21.50,69.10,15.60,21.50,22.75,23.00,0.00,0.00
2.67,21.50,69.10,15.60,21.50,22.75,22.87,0.00,0.00
3.00,21.50,69.10,15.60,21.50,22.62,22.75,0.00,0.00
3.33,21.40,69.10,15.50,21.40,22.62,22.62,0.00,0.00
3.67,21.50,69.10,15.60,21.50,22.50,22.50,0.00,0.00
4.00,21.50,69.10,15.60,21.50,22.37,22.37,0.00,0.00
4.33,21.40,69.10,15.50,21.40,22.37,22.25,0.00,0.00
4.67,21.40,69.10,15.50,21.40,22.37,22.25,0.00,0.00
5.00,21.40,69.10,15.50,21.40,22.25,22.12,0.00,0.00
5.33,21.40,69.20,15.52,21.40,22.25,22.12,0.00,0.00
5.67,21.50,69.20,15.62,21.50,22.25,22.00,0.00,0.00
6.00,21.40,69.20,15.52,21.40,22.25,22.00,0.00,0.00
6.33,21.40,69.20,15.52,21.40,22.12,22.00,0.00,0.00
6.67,21.40,69.30,15.55,21.40,22.12,21.87,0.00,0.00
7.00,21.40,69.30,15.55,21.40,22.12,21.87,0.00,0.00
7.33,21.40,69.30,15.55,21.40,22.00,21.75,0.00,0.00
7.67,21.40,69.30,15.55,21.40,22.00,21.75,0.00,0.00
